artist,name,tag,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Sergei Rachmaninoff ," Ballade, No.wav 古典",古典,-15826.5967333,46220630.4488,0.334680092401,12.5966863397,-271.105627019,7100871.45001,0.0762135852705,11.5604819576,-15826.5967333,43082439.0862,0.351927385399,12.604795745,-2032.37011567,43270312.9212,0.275603328298,13.0632259426,-15826.5967333,7375625.05179,0.187966481848,12.9784386483,-7570.51793264,11563065.2289,0.0703592255901,11.6773495891,-15826.5967333,1067627.51219,-0.0474581970229,18.5380994896,1686.64605351,2034537.60339,-0.0157434676707,20.2215123952,0.675334832682,0.138131617152,0.0496874136105,0.0427944258727,0.0385093246748,0.0248520286968,0.0136187633345,0.00794836122011,0.00533673480066,0.0037864979568
Sergei Rachmaninoff ," Barcarolle, Op.wav 古典",古典,-25714.3783767,21589410.6395,0.0592264475403,7.16782550304,22.9380297934,6550270.17035,-0.166040726524,6.05241791572,-25714.3783767,17475586.8838,0.206925320892,7.40165836923,374.447218241,24090530.2557,-0.00428128922474,7.8871982178,-25714.3783767,2173813.28425,0.192218878708,5.88655396668,-128.495478493,3770073.79757,0.135191359305,5.64095825986,-25714.3783767,245970.01528,0.126092653816,4.98267331599,-64.2220167224,430757.248301,0.11753623469,5.1322153003,0.420888637928,0.283780885207,0.151820137413,0.0788124483215,0.0331351550537,0.015764106825,0.00688491851005,0.00393618616531,0.00275503414882,0.00222249042734
Sergei Rachmaninoff , Carnaval Op.wav 古典,古典,-19007.32775,49171062.5125,0.0795383745608,4.3812780319,-197.485484952,9494086.31017,0.024262398301,5.58288523776,-19007.32775,43747090.8185,0.0740716364961,4.29473767049,-1544.10320344,51899701.7733,0.0632468699264,4.66243855508,-19007.32775,6532399.89125,-0.0951113021508,4.90409166933,75.3926375458,10727936.0507,-0.0218137234268,5.3267650708,-19007.32775,690901.495005,-0.013249855192,5.043010213,556.078160535,1212070.53952,0.00526428478505,5.3312345081,0.689980741916,0.177331656569,0.0424200189998,0.0299829872898,0.0246697414369,0.0159148649332,0.00884203918619,0.00510304628604,0.00336183904952,0.00239306433354
Sergei Rachmaninoff , Concerto No.wav 古典,古典,-28660.2664033,24248050.5994,0.00911135889504,10.4472561957,5.24297747659,4922807.2644,0.321378664359,11.6915249373,-28660.2664033,21208137.1332,0.0992765636975,10.1873464932,17.0401713391,27257769.0393,0.0337253272178,10.4916571387,-28660.2664033,3163664.24352,0.290313742383,9.67558190711,401.001490497,5537073.61113,-0.149875620375,9.95318324017,-28660.2664033,297432.319772,-0.0983670837961,6.36861777598,-243.080531773,486526.774987,0.16185039601,6.07942404311,0.608757211543,0.238087414971,0.0667723993501,0.0316539682364,0.0213862683152,0.0135538444102,0.00811196788368,0.00510983179723,0.00366869252488,0.00289840096789
Sergei Rachmaninoff , Das Wandern (闲游的磨坊工).wav 古典,古典,-35862.7867,74414791.0345,-0.00827470206165,6.61429178399,-123.865342884,11027711.819,0.081948028143,6.43712575939,-35862.7867,69113693.8545,0.0101471249929,6.51061857106,-1376.75980533,75322668.4707,0.0800718766012,6.76476033019,-35862.7867,11494829.0851,0.239889834653,8.23557874664,711.095015005,20233379.4554,-0.13191784184,7.7534305116,-35862.7867,1218558.01788,0.0574276562378,5.64902998449,1545.92837124,2116908.77584,-0.12982601723,5.96017579446,0.709288847555,0.150356844085,0.0499549449828,0.0356023643711,0.0256559343133,0.0139204545959,0.00692446799201,0.00381912396495,0.00253006306433,0.00194695507553
Sergei Rachmaninoff , Der Kontrabandiste.wav 古典,古典,-37518.68367,145523171.842,0.0392947127847,5.1727236251,707.583501945,42711147.4535,0.0221816046321,6.33267047312,-37518.68367,106411122.147,-0.0078299984166,5.10241301709,6033.97426914,177435433.573,0.0401342108478,5.35618305018,-37518.68367,9885026.5787,-0.12238068725,5.39272678029,-5364.89965655,16461227.7595,0.110579216072,5.54077241157,-37518.68367,1134064.25098,0.134196546864,4.2504384772,2217.95439799,1985987.57864,0.154937084026,4.22146660953,0.501411339096,0.366991140152,0.0967018410448,0.019618388825,0.00717199317724,0.00352691683168,0.00200852547612,0.00111019251774,0.000791242986687,0.000668419892727
Sergei Rachmaninoff , Dr.wav 古典,古典,-35939.8944933,159293635.73,-0.16370936251,6.51447576193,-98.524285081,27479524.6142,-0.0679748715559,6.60966429506,-35939.8944933,143080477.339,-0.201461234086,6.2980218822,-3857.41795393,184142352.206,-0.083220993832,6.91591380913,-35939.8944933,17884698.608,0.172732828509,7.44060459177,-884.607445815,30552603.0464,-0.0816847161471,6.75962759909,-35939.8944933,1578505.70357,-0.0398585724613,5.36028448562,-6978.92331104,2371441.12812,-0.114448756731,5.24429694506,0.707317731658,0.175131529445,0.0427308699028,0.0306015605559,0.0188908133791,0.0105376158945,0.00607255877842,0.00381079181121,0.00270301998593,0.00220350858937
Sergei Rachmaninoff , Elfentanz.wav 古典,古典,-13628.9182567,109794817.302,0.0652413292796,7.74152640179,212.12213374,21695095.8866,0.325297473281,7.18474694297,-13628.9182567,95522900.4176,0.0549112162135,7.62765686144,4151.90735358,138364544.461,0.200849252229,8.20350257163,-13628.9182567,9704582.21751,0.00488912628781,7.07472779497,9200.09239747,15879446.5988,0.230566727651,6.5364975053,-13628.9182567,999468.569222,0.608352496536,6.51202465783,6799.84729766,1589430.55794,-0.296760194702,5.9091452398,0.664972600806,0.206543537491,0.0587450509968,0.033322272646,0.0172906071564,0.00851845450504,0.00457085310497,0.00271949011725,0.00184388518725,0.00147324798865
Sergei Rachmaninoff ," Etude tableau, Op.wav 古典",古典,-29489.7505867,103066215.667,0.00274893432884,6.94089399975,249.696805656,25256776.7354,-0.203806816199,9.50607196512,-29489.7505867,85032574.9348,0.0441497467751,6.20413895229,3079.46783226,123326056.99,-0.0358235091004,7.15778123852,-29489.7505867,11234358.0495,0.0363247562073,5.10352676652,1193.38965989,19892841.5204,0.0600284180344,4.79483927079,-29489.7505867,1109544.47291,-0.670951594236,5.60407610927,1550.96929766,1935711.98216,0.0285490342923,4.89012725045,0.582565450069,0.278440993741,0.0830123889889,0.029376984917,0.0113109309699,0.00647771946005,0.00383926046271,0.00226279138078,0.00152439663279,0.00118908337755
Sergei Rachmaninoff ," Etude, Op.wav 古典",古典,-35705.93698,62598076.1174,0.0484439903555,8.55984777313,-601.194750649,11037408.789,0.00416094000924,9.61577467783,-35705.93698,55642166.4067,0.0378492621836,8.08687336141,-3838.84852828,78554821.2062,-0.0179193601654,9.39770270744,-35705.93698,6731041.87797,0.0261415891725,6.35630996023,-1315.11058019,11907436.6222,-0.0217005891234,6.9184906927,-35705.93698,602097.546067,-0.117302577053,9.10197723163,796.526956522,1023509.3503,0.199649429846,10.6651494039,0.714074771366,0.142699004948,0.0654392730584,0.0356233103979,0.0190453636718,0.00970449572555,0.00534206550035,0.00338120270455,0.00253951312144,0.00215099950589
